lead_country;Cidade DSC;MICROZONE_COVERED;MICROZONE_NAME;ID Externo;Primeiro Nome;Rank;Endereço;Telefone;Pontuacao_Brand;Hunter;Nome do Lead;Nome da Brand;Brand ID;ID Cidade;URL do Menu;Prioridade;Latitude;Longitude;Source;Category;Status;Reason;Campo Ignorable;Owners name;Owners email;addressType;googlePlaceId;ownersLastName;Coverage;SUB_CLASSIFICATION;STORE_ID
Brasil;Belo Horizonte;1973;MG - BHZ - Sao Bento / Santa Lucia;ChIJ23PV__iXpgARWMhgcEOG5Ck;amaranto;AAA;avenida luiz paulo franco 421 belvedere;;;andrea.soares@rappi.com;amaranto;amaranto;-43166706;18;;247.0;-19.976586800000003;-43.946059399999996;Outbound;189;Approved;Full service;;;;restaurant;ChIJ23PV__iXpgARWMhgcEOG5Ck;;Si;Diamante;
Brasil;Belo Horizonte;1973;MG - BHZ - Sao Bento / Santa Lucia;c10828c04c0000b91eaf3abea1b9a3585d003297;restaurante e buffet esther maia;AAA;state of minas gerais brazil 200 rua maria luiza santiago 30360 740;553132866873;;rodrigo.piancastelli@rappi.com;restaurante e buffet esther maia;e buffet esther maia;-87302815;18;;379.0;-19.9755;-43.9482;Outbound;189;Approved;Full service;;;;restaurant;nan;;Si;Diamante;
Brasil;Belo Horizonte;1973;MG - BHZ - Sao Bento / Santa Lucia;b04504b636a7df0f0caf0285a425091d4c70a593;assacabrasa;AAA;rodovia br 356 3049 belvedere bh shopping state of minas gerais 30320 900 brazil; 55 31 3228 4000;;julio.silva@rappi.com;assacabrasa;assacabrasa;-7941403;18;;380.0;-19.97437;-43.94608;Outbound;189;Approved;Full service;;;;restaurant;nan;;Si;Diamante;
Brasil;Belo Horizonte;1973;MG - BHZ - Sao Bento / Santa Lucia;b7e2a64d05926f54791697add20994136e35f9c5;mr cheney;AAA;rodovia br 356 3049 3049 3049 loja bh 17j belvedere state of minas gerais brazil;;;andrea.soares@rappi.com;mr cheney;mr cheney;-39123467;18;;382.0;-19.97437;-43.94608;Outbound;189;Approved;Full service;;;;restaurant;nan;;Si;Diamante;
Brasil;Belo Horizonte;1973;MG - BHZ - Sao Bento / Santa Lucia;ac91dca1d4ba37ffed9c427020b18a9621eb80b4;restaurante santafe belvedere;AAA;state of minas gerais brazil estr p nova lima 403 30320 900; 31 3324 0052;;rodrigo.piancastelli@rappi.com;restaurante santafe belvedere;santafe belvedere;-90507641;18;;383.0;-19.9765843;-43.9463899;Outbound;189;Approved;Full service;;;;restaurant;ac91dca1d4ba37ffed9c427020b18a9621eb80b4;;Si;Diamante;
Brasil;Belo Horizonte;1973;MG - BHZ - Sao Bento / Santa Lucia;c4edba915fcf94ebbce08e2c6998091e685502d2;restaurante dona esther;AAA;rua maria luiza santiago 200;;;julio.silva@rappi.com;restaurante dona esther;dona esther;-51123111;18;;393.0;-19.975209;-43.947926;Outbound;189;Approved;Full service;;;;restaurant;nan;;Si;Diamante;
Brasil;Belo Horizonte;1973;MG - BHZ - Sao Bento / Santa Lucia;c275772626b6019b14515f9d00da06e70f53569a;gusto bhs;AAA;rodovia br 356 3049 3049 3049 loja 59 belvedere state of minas gerais brazil;;;andrea.soares@rappi.com;gusto bhs;gusto bhs;-27788670;18;;394.0;-19.97437;-43.94608;Outbound;189;Approved;Full service;;;;restaurant;nan;;Si;Diamante;
Brasil;Belo Horizonte;1973;MG - BHZ - Sao Bento / Santa Lucia;8655dedf3f578d19651ff4fecd35728dcf172b3e;gmc bh;AAA;rodovia br 356 3049 belvedere state of minas gerais 30320 900 brazil;;;rodrigo.piancastelli@rappi.com;gmc bh;gmc bh;-28557683;18;;400.0;-19.97437;-43.94608;Outbound;189;Approved;Full service;;;;restaurant;nan;;Si;Diamante;
Brasil;Belo Horizonte;1973;MG - BHZ - Sao Bento / Santa Lucia;799d904a727ba70553d3149bf463a81caed44297;blackcoffee;AAA;rodovia br 356 3049 3049 3049 loja ma 26 a belvedere state of minas gerais brazil;;;julio.silva@rappi.com;blackcoffee;blackcoffee;-88041607;18;;406.0;-19.97437;-43.94608;Outbound;189;Approved;Full service;;;;restaurant;nan;;Si;Diamante;
Brasil;Belo Horizonte;1973;MG - BHZ - Sao Bento / Santa Lucia;8b3adfa155a49a90e7099733a0e82e80127d123c;green station;AAA;rua senador lima guimaraes 104 proximo a sede da mrv state of minas gerais 30455 600 brazil;;;andrea.soares@rappi.com;green station;green station;-73166083;18;;410.0;-19.970896;-43.9596;Outbound;189;Approved;Full service;;;;restaurant;nan;;Si;Diamante;
Brasil;Belo Horizonte;1973;MG - BHZ - Sao Bento / Santa Lucia;3947eacaddc904b5edf785614327f1cb03cb5138;chopp shop tudo no espeto;AAA;rodovia br 356 3049 vl domingues state of minas gerais 30320 900 brazil;;;rodrigo.piancastelli@rappi.com;chopp shop tudo no espeto;chopp shop tudo no espeto;-51052901;18;;411.0;-19.97437;-43.94608;Outbound;189;Approved;Full service;;;;restaurant;nan;;Si;Diamante;
Brasil;Belo Horizonte;1973;MG - BHZ - Sao Bento / Santa Lucia;5bda77e36ec9a56a41f1617885f66d83e454500e;pizzaria br;AAA;rodovia br 356 3049 centro state of minas gerais 30320 900 brazil;;;julio.silva@rappi.com;pizzaria br;pizzaria br;-22965164;18;;412.0;-19.97437;-43.94608;Outbound;189;Approved;Full service;;;;restaurant;nan;;Si;Diamante;
Brasil;Belo Horizonte;1973;MG - BHZ - Sao Bento / Santa Lucia;4bc48dc9798c17df06754d092e149fb9f9f096b0;poly lanches;AAA;rua maria luiza santiago 200 sta lucia state of minas gerais 30360 740 brazil;;;andrea.soares@rappi.com;poly lanches;poly;-73071215;18;;413.0;-19.97542;-43.94746;Outbound;189;Approved;Full service;;;;restaurant;nan;;Si;Diamante;
Brasil;Belo Horizonte;1973;MG - BHZ - Sao Bento / Santa Lucia;49ded1dac70bb1a115564833e5c60f0e9792c053;bombons lalka;AAA;rodovia br 356 3049 belvedere state of minas gerais 30320 900 brazil;;;rodrigo.piancastelli@rappi.com;bombons lalka;bombons lalka;-79794147;18;;414.0;-19.97437;-43.94608;Outbound;189;Approved;Full service;;;;restaurant;nan;;Si;Diamante;
Brasil;Belo Horizonte;1973;MG - BHZ - Sao Bento / Santa Lucia;67e4d9be5c921999d0c88d6d744ed93687f6e9f4;pequim 2008;AAA;rodovia br 356 3049 sao marcos state of minas gerais 30320 900 brazil;;;julio.silva@rappi.com;pequim 2008;pequim 2008;-34488175;18;;420.0;-19.97437;-43.94608;Outbound;189;Approved;Full service;;;;restaurant;nan;;Si;Diamante;
Brasil;Belo Horizonte;1973;MG - BHZ - Sao Bento / Santa Lucia;ChIJn1hPfbaXpgAR8sEnykoQ6NE;restaurante da jorlan;AAA;rua maria luiza santiago 200 santa lucia;;;andrea.soares@rappi.com;restaurante da jorlan;da jorlan;-70118986;18;;422.0;-19.9753;-43.947843299999995;Outbound;189;Approved;Full service;;;;restaurant;ChIJn1hPfbaXpgAR8sEnykoQ6NE;;Si;Diamante;
Brasil;Belo Horizonte;1973;MG - BHZ - Sao Bento / Santa Lucia;ChIJlS24DhCXpgARRg__GuWulLc;pontal bahia trailer refeicoes;AAA;olhos d agua;;;rodrigo.piancastelli@rappi.com;pontal bahia trailer refeicoes;pontal bahia trailer refeicoes;-76324862;18;;425.0;-19.9762391;-43.9474127;Outbound;189;Approved;Full service;;;;restaurant;ChIJlS24DhCXpgARRg__GuWulLc;;Si;Diamante;
Brasil;Belo Horizonte;1973;MG - BHZ - Sao Bento / Santa Lucia;a5e1d2d74994e61827bbafa97341e20c8f50a9b7;o barco;AAA;rodovia br 356 3049 3049 3049 loja op 89 belvedere state of minas gerais brazil;;;julio.silva@rappi.com;o barco;o barco;-91933111;18;;431.0;-19.97437;-43.94608;Outbound;189;Approved;Full service;;;;restaurant;nan;;Si;Diamante;
Brasil;Belo Horizonte;1973;MG - BHZ - Sao Bento / Santa Lucia;a61203a950113f57b8bd6e2d5da787a97668aabd;fran s cafe;AAA;rodovia br 356 3049 belvedere state of minas gerais 30320 900 brazil;;;andrea.soares@rappi.com;fran s cafe;fran cafe;-62040301;18;;432.0;-19.97437;-43.94608;Outbound;189;Approved;Full service;;;;restaurant;nan;;Si;Diamante;
Brasil;Belo Horizonte;1973;MG - BHZ - Sao Bento / Santa Lucia;ChIJpRFLkMOXpgARde5TNMDwHvk;mr lanches;AAA;rua maria luiza santiago 110 santa lucia; 31 99472 4803;;rodrigo.piancastelli@rappi.com;mr lanches;mr lanches;-16298817;18;;437.0;-19.9744359;-43.9481065;Outbound;189;Approved;Full service;;;;restaurant;ChIJpRFLkMOXpgARde5TNMDwHvk;;Si;Diamante;
Brasil;Belo Horizonte;1973;MG - BHZ - Sao Bento / Santa Lucia;34e69155eacdf2a84f6d10f8d42ce88c22a0c7a4;cozinha diversa;AAA;rua musas 316;31983807246 3135420330 ;;julio.silva@rappi.com;cozinha diversa;cozinha diversa;-39215009;18;;443.0;-19.970651;-43.945513;Outbound;189;Approved;Full service;;;;restaurant;nan;;Si;Diamante;
Brasil;Belo Horizonte;1974;MG - BHZ - Santo Antonio / Gutierrez;d99ad8c93cd7539ad16a83948345f770c2700cdd;lojas americanas prudente de moraes;AAA;rua guaicui 26;+5531984281916;;andrea.soares@rappi.com;lojas americanas prudente de moraes;lojas americanas prudente moraes;-34561163;18;;64.0;-19.945555399999996;-43.9498635;Outbound;189;Approved;Full service;;;;restaurant;nan;;Si;Diamante;
Brasil;Belo Horizonte;1974;MG - BHZ - Santo Antonio / Gutierrez;7a9e34bafcdc75ab519dfe574adb3336c6ac578d;espetinho do flavao;AAA;state of minas gerais brazil r gentios 163 30380 490;553133091768 -  55 31 3309 1768 - 553133091768 - 553133091768;;rodrigo.piancastelli@rappi.com;espetinho do flavao;espetinho flavao;-72765633;18;;229.0;-19.946574425;-43.95079435;Outbound;189;Approved;Full service;;;;restaurant;7a9e34bafcdc75ab519dfe574adb3336c6ac578d;;Si;Diamante;
Brasil;Belo Horizonte;1974;MG - BHZ - Santo Antonio / Gutierrez;3f09d5401380076ca3580cf41ef2db7f011380db;my poke;AAA;state of minas gerais brazil rua leopoldina 30330 230;5531991921218 - 5531991921218 - 5531991921218;;julio.silva@rappi.com;my poke;my poke;-67277552;18;;374.0;-19.9411;-43.94039999999999;Outbound;189;Approved;Full service;;;;restaurant;nan;;Si;Diamante;
Brasil;Belo Horizonte;1974;MG - BHZ - Santo Antonio / Gutierrez;18ab2a113c5db18d521fcee77211b3ddc5a7fe35;prozza pizzaria;AAA;rua barao de macaubas esquina com rua quintiliano silva state of minas gerais 30350 090 brazil;;;andrea.soares@rappi.com;prozza pizzaria;prozza pizzaria;-25951211;18;;375.0;-19.93934245;-43.945323965;Outbound;189;Approved;Full service;;;;restaurant;nan;;Si;Diamante;
Brasil;Belo Horizonte;1974;MG - BHZ - Santo Antonio / Gutierrez;e276f6c1b7da069dae69521b1c2b9b466691a52d;tucai acai;AAA;rua jose ribeiro filho 35 lj 8 bl 3 ouro preto state of minas gerais brazil;;;rodrigo.piancastelli@rappi.com;tucai acai;tucai acai;-70758756;18;;387.0;-19.939604;-43.94466;Outbound;189;Approved;Full service;;;;restaurant;nan;;Si;Diamante;
Brasil;Belo Horizonte;1974;MG - BHZ - Santo Antonio / Gutierrez;0242f97bd61366a0f1fac877955c3b388a03df67;doce focaccia;AAA;avenida prudente de morais 290 cidade jardim state of minas gerais 30380 002 brazil;;;julio.silva@rappi.com;doce focaccia;doce focaccia;-68538896;18;;389.0;-19.938229999999997;-43.94769;Outbound;189;Approved;Full service;;;;restaurant;nan;;Si;Diamante;
Brasil;Belo Horizonte;1974;MG - BHZ - Santo Antonio / Gutierrez;cd77615ae3f965401857f8a8d73e696e3d6b1962;fulldarin;AAA;state of minas gerais brazil rua barao de macaubas 109;;;andrea.soares@rappi.com;fulldarin;fulldarin;-63005405;18;;391.0;-19.93985419;-43.94391864;Outbound;189;Approved;Full service;;;;restaurant;nan;;Si;Diamante;
Brasil;Belo Horizonte;1974;MG - BHZ - Santo Antonio / Gutierrez;1183acea5561e9f88928ff4c752252f3c1d74fcf;chapa do chef;AAA;rua leopoldina 161 vl paulista state of minas gerais 30330 230 brazil;;;rodrigo.piancastelli@rappi.com;chapa do chef;chapa chef;-88957114;18;;397.0;-19.941065;-43.940357;Outbound;189;Approved;Full service;;;;restaurant;nan;;Si;Diamante;
Brasil;Belo Horizonte;1974;MG - BHZ - Santo Antonio / Gutierrez;d887c3bee4a14ea424219dfb81181d8389b4fb96;pizzalo;AAA;r br de macaubas 379 santo antonio state of minas gerais brazil;;;julio.silva@rappi.com;pizzalo;pizzalo;-92820069;18;;399.0;-19.93939;-43.945190000000004;Outbound;189;Approved;Full service;;;;restaurant;nan;;Si;Diamante;
Brasil;Belo Horizonte;1974;MG - BHZ - Santo Antonio / Gutierrez;849e8687cd96630e0de1943e333b0ac1769c4cf8;made plant based;AAA;rua barao de macaubas;996613726;;andrea.soares@rappi.com;made plant based;made plant based;-88209953;18;;403.0;-19.939218;-43.946409;Outbound;189;Approved;Full service;;;;restaurant;nan;;Si;Diamante;
Brasil;Belo Horizonte;1975;MG - BHZ - Gutierrez / Prado;d458c6efa8fba4aad1596bb44088a4d0075dd211;black snack;AAA;avenida francisco sa;40030053 - 553125152004 - 553125152004 -  553125152004 - 553125152004 - 553125152004 - 553125152004;;rodrigo.piancastelli@rappi.com;black snack;black snack;-40250436;18;;963.0;-19.9236081875;-43.9592912375;Outbound;189;Approved;Full service;;;;restaurant;bc17128253dbcad38a39c6b4e68a5ec490320490;;Si;Ouro;
Brasil;Belo Horizonte;1975;MG - BHZ - Gutierrez / Prado;425f2183074785c90c02d05cc98e52631d979744;geraldin da cida;AAA;state of minas gerais brazil r contria 1459 30431 245;553133349355 - 553133349355 - 553133349355 - 553133349355;;julio.silva@rappi.com;geraldin da cida;geraldin da cida;-10834973;18;;1349.0;-19.9381609;-43.9676648;Outbound;189;Approved;Full service;;;;restaurant;425f2183074785c90c02d05cc98e52631d979744;;Si;Prata;
Brasil;Belo Horizonte;1975;MG - BHZ - Gutierrez / Prado;9019148d62b364cffc7f5fd2a81e8fd2d640dbd7;black burger artesanal;AAA;avenida francisco sa;25152004 -  31 2515 2004 -  55 31 2515 2004 - 31985191191 3125123532 ;;andrea.soares@rappi.com;black burger artesanal;black burger artesanal;-59901964;18;;1356.0;-19.9238387;-43.95927755;Outbound;189;Approved;Full service;;;;restaurant;ChIJe0dQbWqXpgARRA6bFN9HB7Y;;Si;Prata;
Brasil;Belo Horizonte;1975;MG - BHZ - Gutierrez / Prado;6cb444465da2a9f3ed1d92b1c6e06501780f549d;gengibre restaurante e cafe;AAA;r bernardino de lima 231 gutierrez; 31 2516 0539 - 553125160539 - 553125160539;;rodrigo.piancastelli@rappi.com;gengibre restaurante e cafe;gengibre e cafe;-31879152;18;;1416.0;-19.931088;-43.9596256;Outbound;189;Approved;Full service;;;;restaurant;6cb444465da2a9f3ed1d92b1c6e06501780f549d;;Si;Prata;
Brasil;Belo Horizonte;1978;MG - BHZ - Centro / Regiao Hospitalar;ChIJl5ZpReCZpgARGSQuUCT6Gkk;mania de sabor;AAA;rua sao paulo 485 centro;(31) 2511-6048;;julio.silva@rappi.com;mania de sabor;mania sabor;-43076595;18;;969.0;-19.926678300000006;-43.94177285;Outbound;189;Approved;Full service;;;;restaurant;ChIJl5ZpReCZpgARGSQuUCT6Gkk;;Si;Ouro;
Brasil;Belo Horizonte;1978;MG - BHZ - Centro / Regiao Hospitalar;ChIJN3t8etSZpgAReHvhIeSyD1w;vila jardim saladeria;AAA;r rio de janeiro 1395 lourdes; 31 99698 9604 -  55 31 9548 8317;;andrea.soares@rappi.com;vila jardim saladeria;vila jardim saladeria;-8059566;18;;970.0;-19.92640935;-43.94052385;Outbound;189;Approved;Full service;;;;restaurant;ChIJN3t8etSZpgAReHvhIeSyD1w;;Si;Ouro;
Brasil;Belo Horizonte;1978;MG - BHZ - Centro / Regiao Hospitalar;ChIJq2O7qyKZpgARdly80LR_MJs;teu caso bistro;AAA;rua espirito santo 1502 centro;(31) 3656-1749 -  55 31 3656 1749;;rodrigo.piancastelli@rappi.com;teu caso bistro;teu caso bistro;-4210219;18;;971.0;-19.9278666;-43.93974480000001;Outbound;189;Approved;Full service;;;;restaurant;ChIJq2O7qyKZpgARdly80LR_MJs;;Si;Ouro;
Brasil;Belo Horizonte;1978;MG - BHZ - Centro / Regiao Hospitalar;ChIJxdMgHeGZpgAR08txEyYA8Kk;restaurante victoria martinelli;AAA;rua rio de janeiro 1358 lourdes;(31) 3214-3232;;julio.silva@rappi.com;restaurante victoria martinelli;victoria martinelli;-56065115;18;;972.0;-19.9262456;-43.9407244;Outbound;189;Approved;Full service;;;;restaurant;ChIJxdMgHeGZpgAR08txEyYA8Kk;;Si;Ouro;
Brasil;Belo Horizonte;1978;MG - BHZ - Centro / Regiao Hospitalar;ChIJNeHTx-CZpgARksSHv3vH4lo;lu tortas e bombons;AAA;r espirito santo 1489 lourdes; 31 3785 6415;;andrea.soares@rappi.com;lu tortas e bombons;lu tortas e bombons;-65171311;18;;973.0;-19.927809699999997;-43.9394872;Outbound;189;Approved;Full service;;;;restaurant;ChIJNeHTx-CZpgARksSHv3vH4lo;;Si;Ouro;
Brasil;Belo Horizonte;1978;MG - BHZ - Centro / Regiao Hospitalar;7f0eb4ff22d819f2d66fa19d44aac724e80c3973;;AAA;rua engenheiro zoroastro trres 384;553125147573;;rodrigo.piancastelli@rappi.com;;;-80433980;18;;979.0;-19.9222212;-43.93990150000001;Outbound;189;Approved;Full service;;;;restaurant;nan;;Si;Ouro;
Brasil;Belo Horizonte;1978;MG - BHZ - Centro / Regiao Hospitalar;ChIJNzHXDOCZpgARJjdxfEiCiY4;espaco herbalife lourdes bh;AAA;r sao paulo 1628 loja 03 lourdes; 31 99981 6106;;julio.silva@rappi.com;espaco herbalife lourdes bh;espaco herbalife lourdes bh;-42348083;18;;982.0;-19.927738400000006;-43.94252510000001;Outbound;189;Approved;Full service;;;;restaurant;ChIJNzHXDOCZpgARJjdxfEiCiY4;;Si;Ouro;
Brasil;Belo Horizonte;1978;MG - BHZ - Centro / Regiao Hospitalar;ChIJj7PbYz2ZpgARiVOehHmRdZY;bias nipo restaurante e produtos orientais;AAA;avenida bias fortes 976d lourdes;(31) 3082-0114 - 3130820114;;andrea.soares@rappi.com;bias nipo restaurante e produtos orientais;bias nipo e produtos orientais;-52942968;18;;983.0;-19.9248694;-43.94358025;Outbound;189;Approved;Full service;;;;restaurant;ChIJj7PbYz2ZpgARiVOehHmRdZY;;Si;Ouro;
Brasil;Belo Horizonte;1978;MG - BHZ - Centro / Regiao Hospitalar;ChIJs2H9rOGZpgARXW_S3k965UE;joao coxinha;AAA;r sao paulo 1405 centro;;;rodrigo.piancastelli@rappi.com;joao coxinha;joao coxinha;-31089069;18;;984.0;-19.92592275;-43.9417806;Outbound;189;Approved;Full service;;;;restaurant;ChIJs2H9rOGZpgARXW_S3k965UE;;Si;Ouro;
Brasil;Belo Horizonte;1978;MG - BHZ - Centro / Regiao Hospitalar;fb100f8e63227bbd15fbac111c71388696646f1d;cafe donuts;AAA;rua dos aimores 1843 lourdes state of minas gerais 30140 074 brazil;;;julio.silva@rappi.com;cafe donuts;cafe donuts;-27360892;18;;985.0;-19.92764;-43.94155;Outbound;189;Approved;Full service;;;;restaurant;nan;;Si;Ouro;
Brasil;Belo Horizonte;1978;MG - BHZ - Centro / Regiao Hospitalar;0052c3d27ff675c7bd6c6ddb5e4a9f193b0e71f6;coisinha da ritha;AAA;rua sao paulo 1526 centro state of minas gerais 30170 132 brazil;;;andrea.soares@rappi.com;coisinha da ritha;coisinha da ritha;-94820106;18;;986.0;-19.92713;-43.942326;Outbound;189;Approved;Full service;;;;restaurant;nan;;Si;Ouro;
Brasil;Belo Horizonte;1978;MG - BHZ - Centro / Regiao Hospitalar;f5d70729e6de752881d63d813ac565eb88266140;karlitu s bar;AAA;rua santa catarina 436 minas gerais state of minas gerais 30170 081 brazil;;;rodrigo.piancastelli@rappi.com;karlitu s bar;karlitu bar;-40570516;18;;987.0;-19.9245;-43.94437;Outbound;189;Approved;Full service;;;;restaurant;nan;;Si;Ouro;
Brasil;Belo Horizonte;1978;MG - BHZ - Centro / Regiao Hospitalar;0e42e85451c596ec84735b54c0ae3a73b8709c60;divino frango;AAA;nan;553125310121;;julio.silva@rappi.com;divino frango;divino frango;-80553502;18;;988.0;-19.9276;-43.9413;Outbound;189;Approved;Full service;;;;restaurant;nan;;Si;Ouro;
Brasil;Belo Horizonte;1979;MG - BHZ - Barro Preto / Oiapoque;50b6a39f9acfe973196ee8a72898d72e118d195b;delicias da val;AAA;rua professor antonio aleixo 240 lourdes state of minas gerais 30180 150 brazil; 55 31 98437 1792;;andrea.soares@rappi.com;delicias da val;da val;-51818329;18;;1023.0;-19.92296;-43.94305;Outbound;189;Approved;Full service;;;;restaurant;nan;;Si;Ouro;
Brasil;Belo Horizonte;1979;MG - BHZ - Barro Preto / Oiapoque;704267c5cca951655e254d24dadd767f0ec488c1;nutriforma;AAA;avenida augusto de lima 744 centro state of minas gerais 30190 006 brazil;;;rodrigo.piancastelli@rappi.com;nutriforma;nutriforma;-92627246;18;;1024.0;-19.92296;-43.94319;Outbound;189;Approved;Full service;;;;restaurant;nan;;Si;Ouro;
Brasil;Belo Horizonte;1979;MG - BHZ - Barro Preto / Oiapoque;ChIJnTh3GuKZpgAR_ZKkBt6LwKg;loja do xara;AAA;avenida augusto de lima 744 loja 215 centro;(31) 3274-9412;;julio.silva@rappi.com;loja do xara;loja xara;-15032487;18;;1025.0;-19.922907000000002;-43.9430718;Outbound;189;Approved;Full service;;;;restaurant;ChIJnTh3GuKZpgAR_ZKkBt6LwKg;;Si;Ouro;
Brasil;Belo Horizonte;1979;MG - BHZ - Barro Preto / Oiapoque;253e4fe9635c60e75f428939c84eecfc72832335;coisas d hana;AAA;avenida augusto de lima 33 mercado central 744 lj state of minas gerais 30190 000 brazil; 31 3213 0793;;andrea.soares@rappi.com;coisas d hana;coisas d hana;-96865169;18;;1048.0;-19.92296;-43.94319;Outbound;189;Approved;Full service;;;;restaurant;nan;;Si;Ouro;
Brasil;Belo Horizonte;1979;MG - BHZ - Barro Preto / Oiapoque;ChIJmaUzG-KZpgARuMdtACOmaL4;baity delicias arabes;AAA;avenida augusto de lima 744 corredor do artesanato loja 161k centro; 31 98844 3200 -  55 31 973442678;;rodrigo.piancastelli@rappi.com;baity delicias arabes;baity arabes;-38712799;18;;1052.0;-19.92259295;-43.94285935;Outbound;189;Approved;Full service;;;;restaurant;ChIJmaUzG-KZpgARuMdtACOmaL4;;Si;Ouro;
Brasil;Belo Horizonte;1979;MG - BHZ - Barro Preto / Oiapoque;c00a5e6f1d2211d98ab589aaf2afab78a4840a72;natucenter;AAA;state of minas gerais brazil mercado central;553132749447;;julio.silva@rappi.com;natucenter;natucenter;-76238351;18;;1053.0;-19.9229;-43.9435;Outbound;189;Approved;Full service;;;;restaurant;nan;;Si;Ouro;
